Fecha,Hora,Producto,ISIN,Bolsa de referencia,Centro de ejecuciÃ³n,NÃºmero,Precio,,Valor local,,Valor EUR,Tipo de cambio,ComisiÃ³n AutoFX,Costes de transacciÃ³n y/o externos EUR,Total EUR,ID Orden,
15-01-2024,10:12,MSCI WORLD ETF SYNTH,IE0000000019,XET,TRD,12,"41,8200",EUR,"501,84",EUR,"501,84","1,0000","0,00","-2,00","499,84","SYNTH-ORD-2001",
05-02-2024,11:01,MSCI CHINA ETF SYNTH,IE0000000027,XET,TRD,20,"5,1700",EUR,"103,40",EUR,"103,40","1,0000","0,00","-2,00","101,40","SYNTH-ORD-2002",
11-03-2024,09:48,META PLATFORMS INC CLASS A,US30303M1027,NDQ,ARCX,3,"472,1500",USD,"1416,45",USD,"1307,40","1,0834","-3,10","-1,90","1302,40","SYNTH-ORD-2003",
03-04-2024,09:15,ETF SEMICONDUCTORS SYNTH,US8168511090,ARCA,ARCX,4,"203,4000",USD,"813,60",USD,"748,51","1,0870","-1,35","-0,90","746,26","SYNTH-ORD-2004",
12-05-2024,08:40,VIDRALA SA - RTS - NON TRADEABLE,ES0183746314,MAD,,2,"0,0000",EUR,"0,00",EUR,"0,00","1,0000","0,00","0,00","0,00","SYNTH-ORD-2004A",
10-06-2024,14:25,MSCI WORLD ETF SYNTH,IE0000000019,XET,TRD,-2,"44,9300",EUR,"-89,86",EUR,"89,86","1,0000","0,00","-2,00","87,86","SYNTH-ORD-2005",
08-07-2024,16:10,META PLATFORMS INC CLASS A,US30303M1027,NDQ,ARCX,-1,"515,5000",USD,"-515,50",USD,"474,88","1,0855","-1,00","-1,60","472,28","SYNTH-ORD-2006",
18-08-2024,11:55,VIDRALA SA RTS NON TRADEABLE,ES0183746314,MAD,,0,"0,0000",EUR,"0,00",EUR,"0,00","1,0000","0,00","0,00","0,00","SYNTH-ORD-2006A",
03-09-2024,12:41,ETF URANIUM SYNTH,US91690V1044,ARCA,ARCX,6,"45,7000",USD,"274,20",USD,"251,19","1,0916","-0,90","-1,10","249,19","SYNTH-ORD-2007",
17-10-2024,10:05,TEXT SA,PLTEXT000010,WSE,XWAR,10,"42,0000",PLN,"420,00",PLN,"98,82","4,2500","-0,50","-1,50","96,82","SYNTH-ORD-2008",
19-11-2024,10:20,TEXT SA,PLTEXT000010,WSE,XWAR,-3,"45,0000",PLN,"-135,00",PLN,"31,76","4,2500","-0,20","-1,00","30,56","SYNTH-ORD-2009",
10-12-2024,09:30,ONLY SELLS UNKNOWN SA,ZZONLYSELL01,WSE,XWAR,-5,"20,0000",PLN,"100,00",PLN,"23,53","4,2500","-0,10","-1,00","22,43","SYNTH-ORD-2010",
12-12-2024,09:45,LOOKALIKE TEXTILE HOLDING,ESLOOKTEXT01,MAD,MAD,-1,"80,0000",EUR,"80,00",EUR,"80,00","1,0000","0,00","-1,00","79,00","SYNTH-ORD-2011",
